2025-11-04 17:06:22,698 INFO cli kfiririririr
2025-11-04 17:06:41,152 INFO cli.py kfiririririr
2025-11-04 17:08:11,509 INFO cli.py args: ['kfir', 'mor']
2025-11-05 14:48:41,342 | INFO | connector.api | Get json
2025-11-05 14:48:41,342 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 14:59:37,684 | INFO | connector.api | Get json
2025-11-05 14:59:37,701 | INFO | connector.api | Get json
2025-11-05 14:59:37,701 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:03:17,547 | INFO | connector.api | Get json
2025-11-05 15:03:17,563 | INFO | connector.api | Get json
2025-11-05 15:03:17,563 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:03:38,003 | INFO | connector.api | Get json
2025-11-05 15:03:38,014 | INFO | connector.api | Get json
2025-11-05 15:03:38,014 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:03:56,410 | INFO | connector.api | Get json
2025-11-05 15:03:56,420 | INFO | connector.api | Get json
2025-11-05 15:03:56,420 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:04:17,064 | INFO | connector.api | Get json
2025-11-05 15:04:17,075 | INFO | connector.api | Get json
2025-11-05 15:04:17,075 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:04:28,818 | INFO | connector.api | Get json
2025-11-05 15:04:28,830 | INFO | connector.api | Get json
2025-11-05 15:04:28,830 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:09:07,905 | INFO | connector.api | Get json
2025-11-05 15:09:07,919 | INFO | connector.api | Get json
2025-11-05 15:09:07,919 | INFO | cli.py | args: ['kfir', 'mor']
2025-11-05 15:11:20,057 | INFO | connector.api | Get json
2025-11-05 15:11:20,071 | INFO | connector.api | Get json
2025-11-05 15:11:20,071 | INFO | cli.py | args: ['kfir', 'mor']
